	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
16S rRNA (cytidine(1402)-2'-O)-methyltransferase	2.00	0	1.00	0	1.00	2.00	12.00	0	2.00	2.00	0	0	1.00	4.00	1.00	4.00	0	5.00	0	0	0	1.00	0	2.00
16S rRNA (cytosine(1402)-N(4))-methyltransferase	2.00	0	4.00	2.00	0	18.00	18.00	3.00	12.00	4.00	1.00	1.00	2.00	8.00	2.00	0	0	8.00	0	0	6.00	1.00	0	0
16S rRNA (cytosine(1402)-N(4))-methyltransferase, partial	0	0	0	0	0	1.00	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00
16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF, partial	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S rRNA (cytosine(967)-C(5))-methyltransferase	0	2.00	1.00	2.00	1.00	4.00	8.00	0	2.00	6.00	0	0	0	4.00	0	4.00	0	10.00	0	1.00	4.00	2.00	0	1.00
16S rRNA (cytosine(967)-C(5))-methyltransferase, partial	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S rRNA (guanine(1207)-N(2))-methyltransferase, partial	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	1.00	0	2.00	0	0	4.00	1.00	1.00	1.00	1.00	1.00	0	1.00	3.00	0	6.00	1.00	3.00	0	1.00	0	1.00	0	1.00
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG, partial	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	0	0	0	0	0	0	3.00	0	0	2.00	1.00	1.00	0	2.00	0	1.00	0	3.00	0	0	0	0	0	0
16S rRNA (uracil(1498)-N(3))-methyltransferase	1.00	0	0	2.00	0	3.00	9.00	0	2.00	1.00	0	0	1.00	4.00	2.00	6.00	0	5.00	0	0	5.00	1.00	0	0
16S rRNA maturation RNase YbeY	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
16S rRNA methyltransferase	0	0	0	1.00	1.00	2.00	2.00	0	1.00	0	1.00	0	0	0	3.00	0	0	2.00	0	0	0	0	0	1.00
16S rRNA methyltransferase, partial	0	0	1.00	0	0	1.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0
16S rRNA processing protein RimM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	6.00	0	0	0	0	0	0
16S rRNA pseudouridine(516) synthase	0	3.00	0	1.00	0	0	4.00	0	1.00	1.00	1.00	0	1.00	7.00	0	3.00	0	4.00	0	0	2.00	1.00	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesterase	3.00	0	0	1.00	0	1.00	0	0	0	1.00	1.00	0	0	0	0	1.00	0	2.00	0	0	0	1.00	0	0
2'-5' RNA ligase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
2'-deoxycytidine 5'-triphosphate deaminase	0	0	0	3.00	0	1.00	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2,2-dialkylglycine decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0	0	0	2.00	1.00	3.00	6.00	0	1.00	6.00	0	3.00	1.00	2.00	0	5.00	0	7.00	0	4.00	0	0	2.00	0
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1.00	0	0	0	0	1.00	6.00	0	0	0	0	0	0	0	0	0	2.00	2.00	0	0	1.00	0	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.00	2.00	0	0	0	12.00	5.00	4.00	9.00	3.00	1.00	0	0	3.00	0	1.00	0	5.00	0	1.00	6.00	0	1.00	4.00
2,3-bisphosphoglycerate-independent phosphoglycerate mutase, partial	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-dehydroadipyl-CoA hydratase	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,3-diaminopropionate biosynthesis protein SbnA	0	0	3.00	0	0	2.00	2.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2,3-diaminopropionate biosynthesis protein SbnB	0	0	0	0	0	1.00	1.00	0	2.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
2,3-dihydroxybenzoate-AMP ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
2,3-dihydroxybiphenyl 1,2-dioxygenase	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0
2,3-diketo-5-methylthio-1-phosphopentane phosphatase	0	0	0	0	0	1.00	0	0	0	2.00	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0
2,3-diketo-L-gulonate TRAP transporter	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0
2,3-diketo-L-gulonate TRAP transporter small permease YiaM	0	0	1.00	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00
2,3-diketo-L-gulonate TRAP transporter, partial	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4'-dihydroxyacetophenone dioxygenase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2,4-dichlorophenol 6-monooxygenase	0	0	0	0	0	2.00	1.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2,4-dienoyl-CoA reductase	0	0	0	0	0	3.00	6.00	0	0	6.00	4.00	3.00	2.00	3.00	0	3.00	1.00	5.00	1.00	2.00	0	0	1.00	0
2,4-dihydroxyacetophenone dioxygenase	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	0	1.00	0	0	0	3.00	3.00	0	2.00	3.00	0	0	0	1.00	0	3.00	0	0	0	0	0	0	0	2.00
2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	0	0	0	0	0	0	0	0	0	1.00	0	1.00	1.00	2.00	0	0	0	1.00	0	0	0	0	0	0
2,5-didehydrogluconate reductase A	2.00	1.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,5-didehydrogluconate reductase B	1.00	1.00	0	1.00	0	0	2.00	0	0	0	0	1.00	0	1.00	0	3.00	0	4.00	0	0	0	1.00	0	1.00
2,5-dihydroxypyridine 5,6-dioxygenase	0	0	0	0	0	1.00	0	1.00	1.00	0	0	0	0	1.00	0	0	0	1.00	0	2.00	0	0	0	0
2,5-diketo-D-gluconic acid reductase	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2,6-beta-D-fructofuranosidase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase	0	0	0	0	0	0	5.00	0	0	0	0	1.00	0	2.00	0	3.00	0	2.00	0	0	0	0	0	1.00
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	0	0	0	0	0	0	1.00	0	1.00	1.00	0	2.00	0	1.00	0	2.00	0	3.00	0	1.00	0	0	1.00	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	0	2.00	0	0	0	8.00	13.00	1.00	4.00	4.00	0	1.00	0	1.00	0	0	0	3.00	0	1.00	2.00	1.00	1.00	0
2-Cys peroxiredoxin	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-acyl-glycerophospho-ethanolamine acyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00
2-alkenal reductase	1.00	0	0	0	0	3.00	4.00	0	0	3.00	1.00	0	0	2.00	0	1.00	2.00	11.00	0	0	0	0	0	0
2-alkenal reductase, partial	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2-amino-3-ketobutyrate CoA ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	1.00	0	0	0	0	5.00	6.00	1.00	1.00	1.00	3.00	0	0	0	1.00	1.00	0	1.00	0	0	2.00	0	0	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	0	0
2-amino-thiazoline-4-carboxylic acid hydrolase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-aminoadipate aminotransferase	0	1.00	0	1.00	0	1.00	2.00	0	0	2.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
2-aminobenzoate-CoA ligase	0	0	0	0	0	0	3.00	0	2.00	5.00	0	0	0	3.00	0	3.00	0	3.00	0	0	0	1.00	0	0
2-aminoethylphosphonate ABC transporter substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0
2-aminoethylphosphonate aminotransferase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	0	0	0	2.00	0	0	0	0	0	0
2-aminoethylphosphonate--pyruvate transaminase	0	0	0	0	0	0	1.00	1.00	1.00	0	1.00	1.00	1.00	2.00	0	0	0	2.00	0	1.00	0	0	0	0
2-aminomuconate deaminase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-amninobenzoyl-CoA monooxygenase/reductase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-dehydro-3-deoxy-6-phosphogalactonate aldolase	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
2-dehydro-3-deoxy-phosphogluconate aldolase	0	0	0	0	0	1.00	0	0	0	1.00	0	0	1.00	1.00	0	0	0	2.00	0	0	0	0	0	0
2-dehydro-3-deoxygalactonokinase	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	1.00	0	0	1.00	0	1.00	0	0	0	0
2-dehydro-3-deoxyglucarate aldolase	0	0	0	4.00	0	1.00	1.00	0	0	2.00	0	0	0	0	0	1.00	0	2.00	0	0	0	0	0	0
2-dehydro-3-deoxygluconokinase	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	1.00	1.00	0	0	1.00	0	0	0	0
2-dehydro-3-deoxyphosphogluconate aldolase	0	0	0	0	0	0	1.00	0	0	2.00	0	0	1.00	0	0	0	0	2.00	0	0	0	0	0	0
2-dehydro-3-deoxyphosphooctonate aldolase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2-dehydropantoate 2-reductase	0	2.00	0	0	2.00	5.00	7.00	3.00	0	6.00	6.00	3.00	1.00	5.00	0	6.00	1.00	12.00	0	4.00	3.00	1.00	1.00	0
2-deoxy-D-gluconate 3-dehydrogenase	0	2.00	0	1.00	0	0	0	0	1.00	0	0	1.00	1.00	2.00	0	1.00	0	2.00	0	2.00	0	1.00	1.00	0
2-deoxy-scyllo-inosamine dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2-deoxyglucose-6-phosphatase	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-deoxyribose-5-phosphate aldolase	1.00	0	2.00	2.00	0	1.00	2.00	0	0	1.00	0	1.00	0	0	0	0	0	2.00	0	1.00	1.00	0	0	0
2-deoxyribose-5-phosphate aldolase, partial	0	0	2.00	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
2-enoate reductase	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0
2-hydroxy-3-oxopropionate reductase	2.00	0	0	1.00	0	1.00	3.00	1.00	0	6.00	1.00	1.00	1.00	1.00	1.00	2.00	0	8.00	0	1.00	0	0	0	1.00
2-hydroxy-3-oxopropionate reductase, partial	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-hydroxy-6-oxo-2,4-heptadienoate hydrolase	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-hydroxy-acid oxidase	0	0	0	0	0	4.00	7.00	0	0	4.00	0	0	0	3.00	0	3.00	0	6.00	0	0	0	0	0	0
2-hydroxyacid dehydrogenase	5.00	3.00	0	0	0	2.00	12.00	0	1.00	5.00	2.00	0	1.00	5.00	0	3.00	0	9.00	0	3.00	1.00	1.00	0	1.00
2-hydroxyacid dehydrogenase, partial	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
2-hydroxyacyl-CoA dehydratase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0
2-hydroxychromene-2-carboxylate isomerase	0	0	0	0	0	3.00	2.00	0	0	6.00	1.00	0	0	0	0	4.00	0	3.00	0	2.00	0	0	0	0
2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
2-hydroxyglutaryl-CoA dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.00	0	0	0	0	0	0
2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	3.00	0	0	0	0	3.00	6.00	0	3.00	3.00	1.00	2.00	0	4.00	0	3.00	0	4.00	0	1.00	0	1.00	0	0
2-hydroxymuconic semialdehyde dehydrogenase	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0	3.00	0	1.00	0	0	0	0	0	2.00
2-isopropylmalate synthase	2.00	0	2.00	1.00	1.00	14.00	24.00	0	1.00	12.00	4.00	1.00	1.00	6.00	2.00	10.00	0	18.00	0	4.00	0	0	2.00	5.00
2-isopropylmalate synthase, partial	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2-keto-3-deoxygluconate permease	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-keto-3-deoxygluconate transporter	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
2-keto-4-pentenoate hydratase	2.00	0	0	2.00	0	1.00	5.00	0	0	4.00	0	0	0	4.00	0	1.00	0	4.00	0	0	0	0	0	0
2-keto-D-gluconate dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
2-keto-myo-inositol dehydratase	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
2-ketocyclohexanecarboxyl-CoA hydrolase	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-ketogluconate reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
2-ketogluconate transporter	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2-methylaconitate cis-trans isomerase PrpF	0	0	1.00	1.00	0	2.00	5.00	0	1.00	2.00	3.00	0	0	1.00	0	3.00	0	1.00	0	0	0	0	0	0
2-methylcitrate dehydratase	1.00	0	0	0	0	1.00	6.00	0	1.00	5.00	0	0	0	1.00	1.00	5.00	0	6.00	0	2.00	0	0	0	1.00
2-methylcitrate synthase	0	0	1.00	1.00	6.00	0	10.00	0	1.00	4.00	0	0	0	5.00	0	3.00	0	8.00	0	1.00	0	1.00	0	3.00
2-methylfumaryl-CoA isomerase	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
2-nitropropane dioxygenase	0	0	0	0	0	1.00	5.00	0	0	0	0	1.00	2.00	3.00	0	1.00	0	3.00	0	2.00	0	0	0	1.00
2-nitropropane dioxygenase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	0	0	0	1.00	0	0	2.00	0	0	0	1.00	2.00	2.00	3.00	0	2.00	0	5.00	0	1.00	0	0	0	1.00
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase UbiF	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
2-octaprenyl-6-methoxyphenyl hydroxylase	1.00	1.00	0	5.00	0	0	0	0	1.00	1.00	0	0	2.00	0	0	1.00	0	1.00	0	1.00	0	0	0	2.00
2-octaprenylphenol hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
2-oxo-3-deoxygalactonate kinase	1.00	1.00	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxo-3-hexenedioate decarboxylase	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
2-oxo-hepta-3-ene-1,7-dioic acid hydratase	1.00	0	0	0	0	2.00	1.00	0	0	2.00	0	0	0	2.00	0	2.00	0	1.00	0	1.00	0	0	0	0
2-oxoacid ferredoxin oxidoreductase	0	0	0	0	0	1.00	4.00	0	2.00	1.00	0	0	2.00	0	0	1.00	0	0	0	0	5.00	0	0	0
2-oxoacid:acceptor oxidoreductase	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-oxoacid:acceptor oxidoreductase subunit alpha	2.00	4.00	0	0	0	3.00	3.00	3.00	0	3.00	0	0	1.00	1.00	0	2.00	0	2.00	0	0	7.00	0	0	0
2-oxoacid:ferredoxin oxidoreductase subunit beta	0	0	0	0	0	1.00	1.00	0	0	0	0	1.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0
